Query.Mass,Matched.Compound,Matched.Form,Mass.Diff
192.06662,C16595,M-H [1-],4.00000001832268e-06
192.06662,C16587,M-H [1-],4.00000001832268e-06
192.06662,CE2176,M-H2O-H [1-],0.000553000000024895
275.01735,C00345,M-H [1-],2.59999999911997e-05
307.03374,C00365,M-H [1-],1.60000000164473e-05
129.05574,C00671,M-H [1-],1.59999999880256e-05
129.05574,C00233,M-H [1-],1.59999999880256e-05
129.05574,C06102,M-H [1-],1.59999999880256e-05
129.05574,C03465,M-H [1-],1.59999999880256e-05
378.09756,C03451,M-H [1-],6.40000000089458e-05
364.08196,C14862,M-H [1-],6.40000000089458e-05
836.14989,C00136,M-H [1-],6.60000000607397e-05
836.14989,C00630,M-H [1-],6.60000000607397e-05
273.00164,C01218,M-H [1-],8.40000000152941e-05
273.00164,C05385,M-H [1-],8.40000000152941e-05
231.09864,C03415,M-H [1-],1.59999999880256e-05
181.05064,C05583,M-H [1-],1.59999999880256e-05
181.05064,C05582,M-H [1-],1.59999999880256e-05
498.28944,C05463,M-H [1-],8.40000000152941e-05
498.28944,C05465,M-H [1-],8.40000000152941e-05
514.28451,C05122,M-H [1-],8.60000000102445e-05
514.28451,C15516,M-H [1-],8.60000000102445e-05
158.08226,C03087,M-H [1-],3.59999999943739e-05
171.0064,C00093,M-H [1-],2.39999999962492e-05
188.05644,C00624,M-H [1-],1.59999999880256e-05
188.05644,C00579,M-H2O-H [1-],0.000369999999975335
283.0684,C01762,M-H [1-],2.39999999962492e-05
673.23072,C04886,M-H [1-],0.000203999999939697
440.13236,C00504,M-H [1-],6.40000000089458e-05
178.05097,CE5536,M-H [1-],2.99999999242573e-06
178.05097,C01586,M-H [1-],4.5999999997548e-05
199.07241,C03740,M-H2O-H [1-],0.000528429699983235
375.13114,C00255,M-H [1-],0.000115999999991345
204.06663,C05660,M-H [1-],5.99999998485146e-06
184.98566,C00631,M-H [1-],3.59999999943739e-05
184.98566,C00197,M-H [1-],3.59999999943739e-05
227.20165,C06424,M-H [1-],2.59999999911997e-05
586.05929,C00096,M-H2O-H [1-],0.000480000000038672
586.05929,C14830,M-H [1-],3.39999999141583e-05
586.05929,C01222,M-H [1-],3.39999999141583e-05
147.02987,C02630,M-H [1-],5.40000000341934e-05
147.02987,C01087,M-H [1-],5.40000000341934e-05
147.02987,C03196,M-H [1-],5.40000000341934e-05
147.02987,C02266,M-H [1-],5.40000000341934e-05
166.97508,C00074,M-H [1-],4.40000000310192e-05
304.03401,C00055,M-H2O-H [1-],0.00050000000004502
235.03943,C05844,M-H2O-H [1-],0.000520000000022947
460.32803,C01747,M-H [1-],5.99999998485146e-06
160.06152,C00956,M-H [1-],4.00000001832268e-06
112.93727,C05529,M-H [1-],4.5999999997548e-05
339.32673,C08281,M-H [1-],9.39999999900465e-05
283.26422,C01530,M-H [1-],3.99999998990097e-06
130.05098,C03341,M-H [1-],5.60000000007221e-05
130.05098,C01165,M-H [1-],5.60000000007221e-05
130.05098,C01157,M-H [1-],5.60000000007221e-05
130.05098,C00430,M-H [1-],5.60000000007221e-05
130.05098,C03440,M-H [1-],5.60000000007221e-05
130.05098,C01110,M-H [1-],5.60000000007221e-05
255.23295,C00249,M-H [1-],2.5999999962778e-05
164.07169,C00079,M-H [1-],3.40000000278451e-05
164.07169,CE2172,M-H [1-],1.30000000240216e-05
305.01805,C02355,M-H [1-],2.59999999911997e-05
305.01805,C00105,M-H2O-H [1-],0.000540000000000873
305.01805,C01368,M-H2O-H [1-],0.000540000000000873
604.06993,C00096,M-H [1-],6.00000009853829e-06
316.11506,C04540,M-H2O-H [1-],0.000550000000032469
184.98565,C00631,M-H [1-],2.59999999911997e-05
184.98565,C00197,M-H [1-],2.59999999911997e-05
301.15178,CE5795,M-H [1-],2.89999999836255e-05
448.30684,C05462,M-H [1-],9.99999997475243e-07
448.30684,C05466,M-H [1-],1.60000000164473e-05
378.09759,C03451,M-H [1-],3.39999999710017e-05
179.05612,C00031,M-H [1-],4.00000001832268e-06
179.05612,C00221,M-H [1-],4.00000001832268e-06
179.05612,C00247,M-H [1-],4.00000001832268e-06
179.05612,C02336,M-H [1-],4.00000001832268e-06
179.05612,C00267,M-H [1-],4.00000001832268e-06
179.05612,C00738,M-H [1-],4.00000001832268e-06
179.05612,C00936,M-H [1-],4.00000001832268e-06
179.05612,C00095,M-H [1-],4.00000001832268e-06
179.05612,C00962,M-H [1-],4.00000001832268e-06
179.05612,C01582,M-H [1-],4.00000001832268e-06
179.05612,C00795,M-H [1-],4.00000001832268e-06
179.05612,C00137,M-H [1-],4.00000001832268e-06
179.05612,C00293,M-H [1-],1.09999999722277e-05
179.05612,C00124,M-H [1-],4.00000001832268e-06
179.05612,C00984,M-H [1-],4.00000001832268e-06
179.05612,C00159,M-H [1-],4.00000001832268e-06
295.09357,C00921,M-H2O-H [1-],0.000740000000007512
259.02243,C00103,M-H [1-],5.99999998485146e-06
259.02243,CE3075,M-H [1-],1.80000000113978e-05
259.02243,C04006,M-H [1-],5.99999998485146e-06
259.02243,C00275,M-H [1-],5.99999998485146e-06
259.02243,C02965,M-H [1-],5.99999998485146e-06
259.02243,C05345,M-H [1-],5.99999998485146e-06
259.02243,C02976,M-H [1-],5.99999998485146e-06
259.02243,C01097,M-H [1-],5.99999998485146e-06
259.02243,C01094,M-H [1-],5.99999998485146e-06
259.02243,C03546,M-H [1-],5.99999998485146e-06
259.02243,C00092,M-H [1-],5.99999998485146e-06
259.02243,C00085,M-H [1-],5.99999998485146e-06
259.02243,C03735,M-H [1-],5.99999998485146e-06
259.02243,C00668,M-H [1-],5.99999998485146e-06
259.02243,C00636,M-H [1-],5.99999998485146e-06
259.02243,C00446,M-H [1-],5.99999998485146e-06
259.02243,C01171,M-H [1-],5.99999998485146e-06
259.02243,C01172,M-H [1-],5.99999998485146e-06
259.02243,C01177,M-H [1-],5.99999998485146e-06
259.02243,C03862,M-H [1-],1.80000000113978e-05
152.00231,C00606,M-H [1-],1.40000000214968e-05
281.2486,C00712,M-H [1-],2.39999999962492e-05
281.2486,C01712,M-H [1-],2.39999999962492e-05
279.23295,C01595,M-H [1-],2.59999999911997e-05
211.00131,C00231,M-H2O-H [1-],0.000499999999988177
211.00131,C00117,M-H2O-H [1-],0.000499999999988177
211.00131,C00620,M-H2O-H [1-],0.000499999999988177
305.01807,C02355,M-H [1-],4.5999999997548e-05
305.01807,C00105,M-H2O-H [1-],0.000560000000007221
305.01807,C01368,M-H2O-H [1-],0.000560000000007221
131.04623,C02642,M-H [1-],5.99999998485146e-06
131.04623,C00152,M-H [1-],5.99999998485146e-06
451.34299,CE1277,M-H [1-],7.69999999761239e-05
